date,month,start_date,start_adjusted_close,end_date,end_adjusted_close,sp500tr_return,source_url
2024-06,Jun 2024,2024-05-31,11494.7001953125,2024-06-28,11907.150390625,0.035881770581602135,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2024-07,Jul 2024,2024-06-28,11907.150390625,2024-07-31,12052.08984375,0.012172471865234513,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2024-08,Aug 2024,2024-07-31,12052.08984375,2024-08-30,12344.4296875,0.024256361140686522,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2024-09,Sept 2024,2024-08-30,12344.4296875,2024-09-30,12608.0703125,0.02135705185853687,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2024-10,Oct 2024,2024-09-30,12608.0703125,2024-10-31,12493.740234375,-0.009068007656306443,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2024-11,Nov 2024,2024-10-31,12493.740234375,2024-11-29,13227.1298828125,0.05870056801882817,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2024-12,Dec 2024,2024-11-29,13227.1298828125,2024-12-31,12911.8203125,-0.02383809436408557,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2025-01,Jan 2025,2024-12-31,12911.8203125,2025-01-31,13271.3798828125,0.027847318318425573,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2025-02,Feb 2025,2025-01-31,13271.3798828125,2025-02-28,13098.2197265625,-0.013047637681915525,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2025-03,Mar 2025,2025-02-28,13098.2197265625,2025-03-31,12360.2099609375,-0.056344280446628536,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2025-04,Apr 2025,2025-03-31,12360.2099609375,2025-04-30,12276.3896484375,-0.006781463483622074,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2025-05,May 2025,2025-04-30,12276.3896484375,2025-05-30,13049.1298828125,0.06294523524457785,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2025-06,Jun 2025,2025-05-30,13049.1298828125,2025-06-30,13712.7099609375,0.05085243875141643,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2025-07,Jul 2025,2025-06-30,13712.7099609375,2025-07-31,14020.4599609375,0.022442682801333103,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2025-08,Aug 2025,2025-07-31,14020.4599609375,2025-08-29,14304.6796875,0.020271783333383198,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2025-09,Sept 2025,2025-08-29,14304.6796875,2025-09-30,14826.7998046875,0.03649995166573006,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2025-10,Oct 2025,2025-09-30,14826.7998046875,2025-10-31,15173.9501953125,0.023413709984486886,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2025-11,Nov 2025,2025-10-31,15173.9501953125,2025-11-28,15211.1396484375,0.0024508748642451117,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2025-12,Dec 2025,2025-11-28,15211.1396484375,2025-12-31,15220.4501953125,0.0006120873971435792,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2026-01,Jan 2026,2025-12-31,15220.4501953125,2026-01-30,15441.150390625,0.014500240957423749,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2026-02,Feb 2026,2026-01-30,15441.150390625,2026-02-27,15323.7998046875,-0.0075998603063116565,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2026-03,Mar 2026,2026-02-27,15323.7998046875,2026-03-31,14560.75,-0.04979507787971005,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2026-04,Apr 2026,2026-03-31,14560.75,2026-04-30,16088.5595703125,0.1049265711115499,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2026-05,May 2026,2026-04-30,16088.5595703125,2026-05-29,16935.349609375,0.052633054896042086,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
